"state","city","zip","assaults17","acs_pop15_19","acs_pop18_24","acs_med_age","acs_white","acs_black","acs_pop18_24_nohs","acs_foodstamp","acs_med_inc","acs_inc150k","acs_inc25k","acs_pop18_24_college","acs_pop25_nohs","acs_pop25_college","fb_animated_movies","fb_movies","fb_comedy_movies","fb_fantasy_movies","fb_science_fiction_movies","fb_thriller_movies","fb_action_movies","fb_musical_theatre","fb_documentary_movies","fb_drama_movies","fb_anime_movies","fb_horror_movies","fb_classical_music","fb_music","fb_gospel_music","fb_soul_music","fb_jazz_music","fb_dance_music","fb_rhythm_and_blues_music","fb_hip_hop_music","fb_blues_music","fb_music_videos","fb_pop_music","fb_country_music","fb_rock_music","fb_heavy_metal_music","fb_electronic_music","fb_word_games","fb_action_games","fb_gambling","fb_online_poker","fb_firstperson_shooter_games","fb_games","fb_online_games","fb_simulation_games","fb_casino_games","fb_board_games","fb_roleplaying_games","fb_racing_games","fb_browser_games","fb_shooter_games","fb_sports_games","fb_strategy_games","fb_card_games","fb_puzzle_video_games","fb_video_games","sample"
"MA","Boston",2118,1489.50083557364,4.3,11.9,33.5,53,18.36,11.8,23,65458,25.6,31.5,67.3,16.5,57.2,0.0586206896551724,0.655172413793103,0.227586206896552,0.0620689655172414,0.0655172413793104,0.0896551724137931,0.110344827586207,0.0620689655172414,0.1,0.096551724137931,0.0517241379310345,0.0896551724137931,0.0482758620689655,0.793103448275862,0.0551724137931034,0.137931034482759,0.0827586206896552,0.0448275862068966,0.162068965517241,0.224137931034483,0.0862068965517241,0.282758620689655,0.286206896551724,0.0896551724137931,0.3,0.096551724137931,0.151724137931034,0.0517241379310345,0.0793103448275862,0.158620689655172,0.00758620689655172,0.158620689655172,0.586206896551724,0.0827586206896552,0.0179310344827586,0.00448275862068965,0.016551724137931,0.0282758620689655,0.0182758620689655,0.00482758620689655,0.023448275862069,0.0231034482758621,0.00758620689655172,0.0517241379310345,0.0724137931034483,0.448275862068966,1
"MA","Boston",2119,2262.08157203245,7.6,12.6,34.3,15,59.09,15,36.5,35470,3.6,45.9,60.7,23.7,24,0.0829787234042553,0.723404255319149,0.276595744680851,0.0936170212765957,0.0765957446808511,0.129787234042553,0.159574468085106,0.0851063829787234,0.11063829787234,0.117021276595745,0.0936170212765957,0.123404255319149,0.074468085106383,0.851063829787234,0.0914893617021277,0.234042553191489,0.121276595744681,0.074468085106383,0.25531914893617,0.361702127659574,0.140425531914894,0.404255319148936,0.361702127659574,0.0978723404255319,0.382978723404255,0.112765957446809,0.193617021276596,0.0595744680851064,0.1,0.193617021276596,0.00808510638297872,0.234042553191489,0.680851063829787,0.114893617021277,0.0382978723404255,0.00872340425531915,0.0161702127659574,0.0404255319148936,0.0404255319148936,0.00702127659574468,0.048936170212766,0.048936170212766,0.01,0.0787234042553192,0.0936170212765957,0.531914893617021,0
"MA","Boston",2120,1206.45161290323,13.7,43,23.2,47,25.14,5.3,25.5,31690,5.9,42.5,84.1,15.7,41.4,0.118,0.8,0.3,0.08,0.098,0.14,0.17,0.09,0.108,0.12,0.104,0.138,0.064,0.92,0.054,0.18,0.118,0.066,0.2,0.3,0.13,0.38,0.34,0.094,0.38,0.14,0.22,0.074,0.086,0.18,0.0102,0.24,0.76,0.108,0.022,0.0052,0.02,0.048,0.0196,0.0098,0.036,0.04,0.0078,0.064,0.084,0.58,0
"MA","Boston",2121,1914.37025417989,8.3,12.3,30.9,9,69.4,20.9,46.7,31766,3.1,48.3,39.8,25.6,13.4,0.0741935483870968,0.67741935483871,0.283870967741935,0.0645161290322581,0.0548387096774194,0.0967741935483871,0.148387096774194,0.0612903225806452,0.0967741935483871,0.1,0.0774193548387097,0.112903225806452,0.0645161290322581,0.838709677419355,0.103225806451613,0.229032258064516,0.116129032258065,0.067741935483871,0.254838709677419,0.419354838709677,0.12258064516129,0.419354838709677,0.354838709677419,0.067741935483871,0.354838709677419,0.116129032258065,0.183870967741935,0.0516129032258065,0.106451612903226,0.196774193548387,0.00612903225806452,0.209677419354839,0.67741935483871,0.106451612903226,0.0290322580645161,0.00903225806451613,0.0129032258064516,0.0270967741935484,0.0387096774193548,0.0067741935483871,0.0354838709677419,0.0419354838709677,0.00967741935483871,0.0870967741935484,0.109677419354839,0.548387096774194,1
"MA","Boston",2122,1274.11575562701,6.8,10.3,34.5,35,31.73,16.4,28.6,51414,9.8,27.5,52.1,23.2,22.1,0.0521739130434783,0.652173913043478,0.239130434782609,0.0608695652173913,0.0565217391304348,0.1,0.121739130434783,0.0521739130434783,0.1,0.0869565217391304,0.0565217391304348,0.1,0.0395652173913043,0.739130434782609,0.0608695652173913,0.160869565217391,0.0869565217391304,0.0478260869565217,0.18695652173913,0.28695652173913,0.0956521739130435,0.304347826086957,0.291304347826087,0.0869565217391304,0.3,0.0956521739130435,0.152173913043478,0.0521739130434783,0.0956521739130435,0.169565217391304,0.00869565217391304,0.169565217391304,0.608695652173913,0.1,0.0239130434782609,0.00608695652173913,0.0152173913043478,0.0260869565217391,0.03,0.00608695652173913,0.038695652173913,0.0326086956521739,0.01,0.0521739130434783,0.0869565217391304,0.478260869565217,0
"MA","Boston",2124,1442.87673549139,6.9,9.6,34.6,22,63.96,14.6,30.8,53648,9.3,30.7,59.6,19.4,23.6,0.0606060606060606,0.681818181818182,0.257575757575758,0.0696969696969697,0.0651515151515152,0.101515151515152,0.143939393939394,0.0681818181818182,0.1,0.0954545454545455,0.0560606060606061,0.106060606060606,0.053030303030303,0.803030303030303,0.096969696969697,0.196969696969697,0.104545454545455,0.0636363636363636,0.227272727272727,0.348484848484849,0.121212121212121,0.348484848484849,0.318181818181818,0.0848484848484849,0.333333333333333,0.110606060606061,0.181818181818182,0.0590909090909091,0.101515151515152,0.196969696969697,0.00833333333333333,0.196969696969697,0.666666666666667,0.113636363636364,0.0287878787878788,0.00833333333333333,0.0134848484848485,0.0318181818181818,0.0272727272727273,0.00681818181818182,0.0333333333333333,0.0393939393939394,0.00954545454545455,0.0651515151515152,0.103030303030303,0.5,0
"MA","Boston",2125,1133.44074168292,6.2,13.4,31.9,34,27.02,9.5,24.4,48959,9.6,31.7,69.9,20.4,33.3,0.0808823529411765,0.705882352941177,0.279411764705882,0.0632352941176471,0.0691176470588235,0.110294117647059,0.147058823529412,0.075,0.102941176470588,0.105882352941176,0.0691176470588235,0.129411764705882,0.05,0.838235294117647,0.0735294117647059,0.191176470588235,0.107352941176471,0.0676470588235294,0.205882352941176,0.308823529411765,0.119117647058824,0.352941176470588,0.323529411764706,0.105882352941176,0.338235294117647,0.117647058823529,0.176470588235294,0.0588235294117647,0.0897058823529412,0.191176470588235,0.00970588235294118,0.191176470588235,0.676470588235294,0.110294117647059,0.025,0.00602941176470588,0.0161764705882353,0.0382352941176471,0.0279411764705882,0.00647058823529412,0.0308823529411765,0.0308823529411765,0.0116176470588235,0.0544117647058824,0.0911764705882353,0.544117647058823,0
"MA","Boston",2126,1350.81731632836,6.6,8.5,37.7,8,86.03,27.4,26.7,51641,4.1,31.3,47.7,20.2,15.6,0.0708333333333333,0.666666666666667,0.25,0.0708333333333333,0.0458333333333333,0.104166666666667,0.141666666666667,0.0541666666666667,0.0958333333333333,0.0916666666666667,0.0666666666666667,0.0875,0.075,0.791666666666667,0.1125,0.225,0.120833333333333,0.0625,0.266666666666667,0.404166666666667,0.129166666666667,0.383333333333333,0.333333333333333,0.0666666666666667,0.325,0.108333333333333,0.175,0.0583333333333333,0.129166666666667,0.2,0.00666666666666667,0.204166666666667,0.666666666666667,0.1,0.0266666666666667,0.0104166666666667,0.0154166666666667,0.0291666666666667,0.0295833333333333,0.0075,0.0370833333333333,0.0329166666666667,0.0075,0.0666666666666667,0.133333333333333,0.541666666666667,0
"MA","Boston",2127,737.10746972105,3.5,8.1,30.7,82,5.37,11.1,16.2,68401,21.9,23,75.2,10.5,56.5,0.0508771929824561,0.684210526315789,0.245614035087719,0.0701754385964912,0.0543859649122807,0.0894736842105263,0.101754385964912,0.0385964912280702,0.107017543859649,0.107017543859649,0.0403508771929825,0.1,0.0403508771929825,0.842105263157895,0.0456140350877193,0.140350877192982,0.0578947368421053,0.0385964912280702,0.170175438596491,0.210526315789474,0.110526315789474,0.280701754385965,0.315789473684211,0.129824561403509,0.333333333333333,0.0947368421052632,0.149122807017544,0.0649122807017544,0.0666666666666667,0.163157894736842,0.00929824561403509,0.156140350877193,0.596491228070175,0.0701754385964912,0.0143859649122807,0.00421052631578947,0.013859649122807,0.0152631578947368,0.0159649122807018,0.00456140350877193,0.0280701754385965,0.0192982456140351,0.00789473684210526,0.043859649122807,0.0701754385964912,0.43859649122807,0
"MA","Boston",2129,631.29914719238,2.5,4.9,33.9,74,10.96,10.5,18.3,116445,29.9,24.6,61,9,62.1,0.0619047619047619,0.666666666666667,0.223809523809524,0.0571428571428571,0.0666666666666667,0.0952380952380952,0.114285714285714,0.0571428571428571,0.0904761904761905,0.0904761904761905,0.0523809523809524,0.0952380952380952,0.0447619047619048,0.80952380952381,0.0442857142857143,0.133333333333333,0.0761904761904762,0.040952380952381,0.157142857142857,0.20952380952381,0.1,0.257142857142857,0.266666666666667,0.104761904761905,0.304761904761905,0.0904761904761905,0.133333333333333,0.0571428571428571,0.0714285714285714,0.166666666666667,0.00809523809523809,0.161904761904762,0.619047619047619,0.0761904761904762,0.0176190476190476,0.00476190476190476,0.0152380952380952,0.0285714285714286,0.0166666666666667,0.00476190476190476,0.0242857142857143,0.0295238095238095,0.00857142857142857,0.0423809523809524,0.0666666666666667,0.461904761904762,0
